"","engagement","onet.resource.ii","onet.resource.mp","onet.resource.wo","onet.resource.io","onet.resource.ir","onet.resource.pc","onet.resource.sc","onet.hindrance.ii","onet.hindrance.mp","onet.hindrance.wo","onet.hindrance.io","onet.hindrance.ir","onet.hindrance.pc","onet.hindrance.sc","onet.challenge.ii","onet.challenge.mp","onet.challenge.wo","onet.challenge.io","onet.challenge.ir","onet.challenge.pc","onet.challenge.sc"
"engagement",1,0.100787050849494,0.169996943116938,0.144333844630012,0.247524594788821,0.260442493628278,0.134127817212774,0.349451753877567,-0.034727338164657,-0.0321115768671266,-0.0933822913199629,-0.0683100236111605,-0.0982772698277419,-0.180660679614545,-0.200054189682272,0.0772225772903767,0.072296457810519,0.0893328404217144,0.194228197279027,0.176319130034101,0.11255038932412,0.332908174003584
"onet.resource.ii",0.100787050849494,1,0.60888424920722,0.467156834790369,0.497549968529434,0.465811731716841,0.197228348177759,0.43506589753224,-0.266280052170628,-0.237695260677027,-0.215423096023429,-0.228304142526195,-0.215952589035571,-0.0361240933074712,-0.130701725401557,0.625007316145363,0.469235668393765,0.339515786654065,0.348466933884967,0.313470795494778,0.117702317970726,0.275063398331668
"onet.resource.mp",0.169996943116938,0.60888424920722,1,0.5134974802032,0.654759459081581,0.561612352049198,0.147317282909869,0.466079927451587,-0.267279004086772,-0.310904602492839,-0.258900821358736,-0.273312311770571,-0.25235150426509,-0.0885068358083431,-0.153954613698115,0.492854825779913,0.63801028119059,0.390716751112984,0.491418696607878,0.411032039828898,0.060069685493462,0.323355729669019
"onet.resource.wo",0.144333844630012,0.467156834790369,0.5134974802032,1,0.461094220222776,0.38770689739114,0.329798895864253,0.434041017911543,-0.183552191485184,-0.181926603531823,-0.248695013823389,-0.160035487460236,-0.167512114881939,-0.101820890165471,-0.1530025028211,0.379375427822609,0.440276686969304,0.660615555325405,0.356657005831653,0.270474406371346,0.221997744169472,0.301216691796904
"onet.resource.io",0.247524594788821,0.497549968529434,0.654759459081581,0.461094220222776,1,0.605795582296397,0.185085597955246,0.479272828481293,-0.235540277802639,-0.21286487005378,-0.233924334215284,-0.286689131191531,-0.226193674651229,-0.122506639879302,-0.180050615884788,0.410249053329163,0.513895408950216,0.360311651665776,0.66087036773684,0.484074889789899,0.131048720809377,0.395515785928487
"onet.resource.ir",0.260442493628278,0.465811731716841,0.561612352049198,0.38770689739114,0.605795582296397,1,0.371479424786666,0.507670998829565,-0.176588782935342,-0.146915070993962,-0.106309294493095,-0.18329623752618,-0.241345538523807,-0.118212103765484,-0.141813273483605,0.335131341978246,0.406386318496272,0.307891263546357,0.485545964973877,0.623589730246937,0.248624051663984,0.40063137523078
"onet.resource.pc",0.134127817212774,0.197228348177759,0.147317282909869,0.329798895864253,0.185085597955246,0.371479424786666,1,0.371482585574182,-0.0275760436778303,0.0434727181598158,-0.043160708349441,-0.0178528274511958,-0.0662982785589543,-0.186660936402071,-0.105891341289835,0.0874030165701254,0.0678067572648406,0.290960066287434,0.125214904556209,0.2240815195899,0.659160104687655,0.259539059133696
"onet.resource.sc",0.349451753877567,0.43506589753224,0.466079927451587,0.434041017911543,0.479272828481293,0.507670998829565,0.371482585574182,1,-0.0724941987343721,-0.0544732473587508,-0.134005891389694,-0.104821132874236,-0.104802626762996,-0.133086940169489,-0.240520447179139,0.324402076325199,0.375963210546314,0.380429518625614,0.425690389561251,0.3992386894275,0.283080932601803,0.639981375170763
"onet.hindrance.ii",-0.034727338164657,-0.266280052170628,-0.267279004086772,-0.183552191485184,-0.235540277802639,-0.176588782935342,-0.0275760436778303,-0.0724941987343721,1,0.85905723130062,0.662025871759216,0.791391016142432,0.786392259550218,0.374404984964179,0.615155919609615,-0.257210976539529,-0.259949551883425,-0.104987131024022,-0.178544941777802,-0.14886036251697,0.0514038663033909,-0.0922675189488407
"onet.hindrance.mp",-0.0321115768671266,-0.237695260677027,-0.310904602492839,-0.181926603531823,-0.21286487005378,-0.146915070993962,0.0434727181598158,-0.0544732473587508,0.85905723130062,1,0.699585825232974,0.868720352242289,0.803410125156119,0.32817291022844,0.628798337993912,-0.215976403741611,-0.290880598812736,-0.102607684823924,-0.181828008037803,-0.151780118697444,0.126292892030422,-0.0655614459790158
"onet.hindrance.wo",-0.0933822913199629,-0.215423096023429,-0.258900821358736,-0.248695013823389,-0.233924334215284,-0.106309294493095,-0.043160708349441,-0.134005891389694,0.662025871759216,0.699585825232974,1,0.699343408219291,0.635678050415725,0.471512645773877,0.565533960423428,-0.141913797164192,-0.233918526672032,-0.245289566720936,-0.154153226269931,-0.110317739391322,0.034362552064411,-0.125327668212661
"onet.hindrance.io",-0.0683100236111605,-0.228304142526195,-0.273312311770571,-0.160035487460236,-0.286689131191531,-0.18329623752618,-0.0178528274511958,-0.104821132874236,0.791391016142432,0.868720352242289,0.699343408219291,1,0.828855735557443,0.342725792385224,0.641197159473729,-0.20326884123066,-0.258179015521503,-0.0992265124864914,-0.266310343510735,-0.183235836106367,0.0667099917974103,-0.108662906539704
"onet.hindrance.ir",-0.0982772698277419,-0.215952589035571,-0.25235150426509,-0.167512114881939,-0.226193674651229,-0.241345538523807,-0.0662982785589543,-0.104802626762996,0.786392259550218,0.803410125156119,0.635678050415725,0.828855735557443,1,0.466781321592285,0.666347476299147,-0.175929816692818,-0.237868284188398,-0.0862311006179756,-0.185650884463618,-0.219895361314713,0.0403805162358458,-0.122494936981885
"onet.hindrance.pc",-0.180660679614545,-0.0361240933074712,-0.0885068358083431,-0.101820890165471,-0.122506639879302,-0.118212103765484,-0.186660936402071,-0.133086940169489,0.374404984964179,0.32817291022844,0.471512645773877,0.342725792385224,0.466781321592285,1,0.459702213071547,-0.0154861877227481,-0.0683918658252959,-0.0622450963553195,-0.0913227892650176,-0.106347656018562,-0.0528559051779382,-0.145045192987921
"onet.hindrance.sc",-0.200054189682272,-0.130701725401557,-0.153954613698115,-0.1530025028211,-0.180050615884788,-0.141813273483605,-0.105891341289835,-0.240520447179139,0.615155919609615,0.628798337993912,0.565533960423428,0.641197159473729,0.666347476299147,0.459702213071547,1,-0.104127602875928,-0.129820043119976,-0.0769179366875977,-0.146030595377737,-0.117219617278815,-0.0185228294939085,-0.177122052745888
"onet.challenge.ii",0.0772225772903767,0.625007316145363,0.492854825779913,0.379375427822609,0.410249053329163,0.335131341978246,0.0874030165701254,0.324402076325199,-0.257210976539529,-0.215976403741611,-0.141913797164192,-0.20326884123066,-0.175929816692818,-0.0154861877227481,-0.104127602875928,1,0.647704798277243,0.444527259029527,0.506451360201103,0.453956578725249,0.146113584809297,0.355522797719854
"onet.challenge.mp",0.072296457810519,0.469235668393765,0.63801028119059,0.440276686969304,0.513895408950216,0.406386318496272,0.0678067572648406,0.375963210546314,-0.259949551883425,-0.290880598812736,-0.233918526672032,-0.258179015521503,-0.237868284188398,-0.0683918658252959,-0.129820043119976,0.647704798277243,1,0.47972334478831,0.690639188038829,0.595631006792326,0.0909246794829136,0.407569299221333
"onet.challenge.wo",0.0893328404217144,0.339515786654065,0.390716751112984,0.660615555325405,0.360311651665776,0.307891263546357,0.290960066287434,0.380429518625614,-0.104987131024022,-0.102607684823924,-0.245289566720936,-0.0992265124864914,-0.0862311006179756,-0.0622450963553195,-0.0769179366875977,0.444527259029527,0.47972334478831,1,0.43318110800043,0.379793396507403,0.327532930015012,0.364734617673732
"onet.challenge.io",0.194228197279027,0.348466933884967,0.491418696607878,0.356657005831653,0.66087036773684,0.485545964973877,0.125214904556209,0.425690389561251,-0.178544941777802,-0.181828008037803,-0.154153226269931,-0.266310343510735,-0.185650884463618,-0.0913227892650176,-0.146030595377737,0.506451360201103,0.690639188038829,0.43318110800043,1,0.699498792348731,0.186097939588135,0.500581526503859
"onet.challenge.ir",0.176319130034101,0.313470795494778,0.411032039828898,0.270474406371346,0.484074889789899,0.623589730246937,0.2240815195899,0.3992386894275,-0.14886036251697,-0.151780118697444,-0.110317739391322,-0.183235836106367,-0.219895361314713,-0.106347656018562,-0.117219617278815,0.453956578725249,0.595631006792326,0.379793396507403,0.699498792348731,1,0.308271459389096,0.44038052144424
"onet.challenge.pc",0.11255038932412,0.117702317970726,0.060069685493462,0.221997744169472,0.131048720809377,0.248624051663984,0.659160104687655,0.283080932601803,0.0514038663033909,0.126292892030422,0.034362552064411,0.0667099917974103,0.0403805162358458,-0.0528559051779382,-0.0185228294939085,0.146113584809297,0.0909246794829136,0.327532930015012,0.186097939588135,0.308271459389096,1,0.376400172360955
"onet.challenge.sc",0.332908174003584,0.275063398331668,0.323355729669019,0.301216691796904,0.395515785928487,0.40063137523078,0.259539059133696,0.639981375170763,-0.0922675189488407,-0.0655614459790158,-0.125327668212661,-0.108662906539704,-0.122494936981885,-0.145045192987921,-0.177122052745888,0.355522797719854,0.407569299221333,0.364734617673732,0.500581526503859,0.44038052144424,0.376400172360955,1
