"","item1","item2","missing","careless_long"
"7","2021-10-07 08:43:53","2021-10-07 09:08:51",39,9
"8","2021-10-07 08:39:08","2021-10-07 09:09:38",43,8
"11","2021-10-07 08:57:14","2021-10-07 09:22:15",93,12
"12","2021-10-07 09:05:48","2021-10-07 09:26:15",78,10
"14","2021-10-07 09:13:04","2021-10-07 09:29:19",90,13
"17","2021-10-07 09:02:29","2021-10-07 09:32:28",118,13
"18","2021-10-07 09:14:48","2021-10-07 09:33:49",144,13
"20","2021-10-07 08:58:59","2021-10-07 09:35:01",60,11
"23","2021-10-07 09:05:03","2021-10-07 09:36:28",66,5
"24","2021-10-07 09:00:27","2021-10-07 09:37:06",120,10
"25","2021-10-07 09:01:31","2021-10-07 09:37:17",93,7
"28","2021-10-07 09:07:52","2021-10-07 09:39:08",78,12
"33","2021-10-07 09:13:44","2021-10-07 09:41:37",111,5
"34","2021-10-07 09:07:20","2021-10-07 09:43:26",151,8
"35","2021-10-07 09:13:00","2021-10-07 09:44:47",108,9
"40","2021-10-07 09:25:37","2021-10-07 09:47:17",90,13
"41","2021-10-07 09:03:16","2021-10-07 09:48:14",30,16
"45","2021-10-07 09:32:58","2021-10-07 09:50:41",91,11
"48","2021-10-07 08:50:52","2021-10-07 09:53:08",117,14
"49","2021-10-07 08:55:26","2021-10-07 09:53:43",123,10
"50","2021-10-07 09:12:24","2021-10-07 09:54:12",19,10
"52","2021-10-07 09:40:10","2021-10-07 09:54:38",138,23
"53","2021-10-07 09:09:33","2021-10-07 09:54:58",48,10
"54","2021-10-07 08:58:00","2021-10-07 09:55:05",92,6
"55","2021-10-07 09:09:36","2021-10-07 09:55:21",142,17
"56","2021-10-07 09:38:34","2021-10-07 09:55:28",126,13
"57","2021-10-07 09:08:22","2021-10-07 09:55:55",76,11
"58","2021-10-07 09:31:52","2021-10-07 09:56:07",156,10
"60","2021-10-07 09:09:33","2021-10-07 09:56:35",45,14
"63","2021-10-07 09:04:52","2021-10-07 09:57:06",111,6
"65","2021-10-07 09:44:13","2021-10-07 09:57:25",147,12
"67","2021-10-07 09:25:30","2021-10-07 09:58:17",75,13
"68","2021-10-07 09:09:39","2021-10-07 09:59:02",51,4
"69","2021-10-07 09:05:44","2021-10-07 09:59:15",84,12
"73","2021-10-07 09:32:18","2021-10-07 10:00:42",162,15
"74","2021-10-07 09:23:25","2021-10-07 10:00:43",45,7
"75","2021-10-07 09:18:38","2021-10-07 10:01:04",78,10
"81","2021-10-07 09:07:27","2021-10-07 10:03:13",24,10
"82","2021-10-07 09:26:13","2021-10-07 10:03:43",87,14
"84","2021-10-07 09:47:08","2021-10-07 10:04:09",87,13
"85","2021-10-07 09:30:41","2021-10-07 10:04:13",109,7
"86","2021-10-07 09:30:47","2021-10-07 10:04:26",108,28
