"","item1","item2","missing","careless_long"
"4","2021-10-07 08:55:13","2021-10-07 08:55:30",386,1
"5","2021-10-07 08:57:07","2021-10-07 08:57:35",386,1
"6","2021-10-07 08:58:32","2021-10-07 08:59:03",386,1
"9","2021-10-07 09:07:31","2021-10-07 09:09:59",386,1
"10","2021-10-07 09:09:25","2021-10-07 09:10:04",386,1
"15","2021-10-07 09:29:41","2021-10-07 09:30:13",386,1
"16","2021-10-07 09:30:24","2021-10-07 09:31:32",386,1
"19","2021-10-07 09:34:22","2021-10-07 09:34:36",386,1
"22","2021-10-07 09:34:52","2021-10-07 09:35:38",386,1
"27","2021-10-07 09:38:05","2021-10-07 09:38:39",386,1
"29","2021-10-07 09:38:49","2021-10-07 09:39:27",386,1
"31","2021-10-07 09:40:06","2021-10-07 09:40:30",386,1
"32","2021-10-07 09:40:43","2021-10-07 09:41:35",386,1
"36","2021-10-07 09:44:18","2021-10-07 09:45:07",386,1
"39","2021-10-07 09:45:54","2021-10-07 09:46:21",386,1
"42","2021-10-07 09:48:51","2021-10-07 09:49:25",386,1
"43","2021-10-07 09:49:24","2021-10-07 09:50:00",386,1
"47","2021-10-07 09:51:58","2021-10-07 09:52:30",386,1
"51","2021-10-07 09:53:34","2021-10-07 09:54:23",386,1
"59","2021-10-07 09:55:10","2021-10-07 09:56:08",386,1
"61","2021-10-07 09:56:06","2021-10-07 09:56:53",386,1
"64","2021-10-07 09:56:57","2021-10-07 09:57:24",386,1
"66","2021-10-07 09:57:42","2021-10-07 09:58:06",386,1
"71","2021-10-07 09:59:44","2021-10-07 10:00:23",386,1
"72","2021-10-07 10:00:17","2021-10-07 10:00:32",386,1
"77","2021-10-07 10:00:54","2021-10-07 10:01:19",386,1
"83","2021-10-07 10:03:28","2021-10-07 10:04:06",386,1
"260","2021-10-07 11:31:05","2021-10-07 11:33:54",386,1
"271","2021-10-07 11:48:10","2021-10-07 11:49:46",386,1
"284","2021-10-07 09:38:37","2021-10-07 15:40:41",386,1
