"","description","mean","sd"
"item299","working in an open vehicle or equipment ",2.88,1.2
"item311","sitting",2.87,1.3
"item302","working outdoors",2.78,1.24
"item313","using your hands to handle, control, or feel objects, tools or controls",2.75,1.16
"item298","working in a closed vehicle or equipment",2.68,1.31
"item310","making repetitive motions",2.57,1.29
"item307","attention check",2.55,1.24
"item312","standing",2.52,1.19
"item316","wearing common protective or safety equipment ",2.44,1.31
"item306","bending or twisting your body",2.29,1.34
