"","description","mean","sd"
"item52","kneeling, crouching, stooping or crawling",1.42,0.92
"item53","making repetitive motions",1.42,0.89
"item100","providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients?",1.42,0.96
"item37","exposure to minor burns, cuts, bites, or stings",1.41,0.95
"item31","working in cramped work spaces ",1.38,0.58
"item62","contact with others (face-to-face, by telephone, or otherwise) ",1.32,0.92
"item51","keeping or regaining your balance",1.24,0.71
"item39","exposure to whole body vibration ",1.19,0.71
"item43","working indoors in environmentally controlled conditions",1.19,0.72
"item40","working in extremely bright or inadequate lighting conditions",1.16,0.61
