"","description","mean","sd"
"item129","working in an open vehicle or equipment ",2.88,1.22
"item140","sitting",2.88,1.22
"item133","working outdoors, under cover",2.84,1.3
"item152","use electronic mail",2.84,1.36
"item132","working outdoors",2.78,1.24
"item139","making repetitive motions",2.58,1.2
"item137","keeping or regaining your balance",2.51,1.22
"item128","working in a closed vehicle or equipment",2.34,1.22
"item146","wearing common protective or safety equipment ",2.27,1.34
"item136","bending or twisting your body",2.05,1.25
