"","x","2"
"V1","item1","Start Date"
"V2","item2","End Date"
"V3","item3","Response Type"
"V4","item4","IP Address"
"V5","item5","Progress"
"V6","item6","Duration (in seconds)"
"V7","item7","Finished"
"V8","item8","Recorded Date"
"V9","item9","Response ID"
"V10","item10","Recipient Last Name"
"V11","item11","Recipient First Name"
"V12","item12","Recipient Email"
"V13","item13","External Data Reference"
"V14","item14","Location Latitude"
"V15","item15","Location Longitude"
"V16","item16","Distribution Channel"
"V17","item17","User Language"
"V18","item18","We are asking you to take part in a research study being done by Dr. Kulas a faculty member at Montclair State University. Being in this study is optional. 
If you choose to be in the study, you will complete a survey. This survey will help us learn more about people’s perceptions about the characteristics of their work. You have been offered the opportunity to participate in this study since you are 18 years or older, and are employed part-time or full-time in the U.S. The survey will take about 30-40 minutes to complete. 
The survey is anonymous, and no one will be able to link your answers back to you. 

Compensation: To compensate you for the time you spend in this study, you will receive payment from Prolific upon completion of the survey. 
Employment questions or sensitive questions: We strongly advise that you do not use an employer issued electronic device, laptop, phone or WIFI to respond to this survey, as many employers monitor use of all devices. 
Questions about the study? Please contact Dr. John Kulas, Professor of Psychology in the College of Humanities and Social Sciences at kulasj@montclair.edu. 
If you have questions or concerns about your rights as a research participant, you can call the MSU Institutional Review Board at 973-655-7583 or email reviewboard@montclair.edu 
This study has been approved by the Montclair State University Institutional Review Board. 

If you want to participate in this study, please select the ""Accept"" option to start the survey."
"V19","item19","How serious would the result usually be if you made a mistake that was not readily correctable?"
"V20","item20","How automated is your job?"
"V21","item21","Number of hours you typically work in one week."
"V22","item22","How much decision making freedom, without supervision, does your job offer?"
"V23","item23","How frequently are you required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
"V24","item24","What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?"
"V25","item25","How important is being very exact or highly accurate in performing your job?"
"V26","item26","How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to perform your job?"
"V27","item27","To what extent does your job require you to compete or to be aware of competitive pressures?"
"V28","item28","To what extent is your job structured for you, rather than allowing you to determine tasks, priorities, and goals?"
"V29","item29","How important is it to your job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)"
"V30","item30","How often does your job require you to meet strict deadlines?"
"V31","item31","How regular are the work schedules for your job?"
"V32","item32","How often does your job require working in cramped work spaces that requires getting into awkward positions?"
"V33","item33","How often does your job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
"V34","item34","How often does your job require exposure to disease/infections?"
"V35","item35","How often does your job require exposure to hazardous conditions?"
"V36","item36","How often does your job require exposure to hazardous equipment?"
"V37","item37","How often does your job require exposure to high places?"
"V38","item38","How often does your job require exposure to minor burns, cuts, bites, or stings?"
"V39","item39","How often does your job require exposure to radiation?"
"V40","item40","How often does your job require exposure to whole body vibration (e.g., operate a jackhammer)?"
"V41","item41","How often does your job require working in extremely bright or inadequate lighting conditions?"
"V42","item42","How often does your job require working in a closed vehicle or equipment (e.g., car)?"
"V43","item43","How often does your job require working in an open vehicle or equipment (e.g., tractor)?"
"V44","item44","How often does your job require working indoors in environmentally controlled conditions?"
"V45","item45","How often does your job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
"V46","item46","How often does your job require working outdoors, exposed to all weather conditions?"
"V47","item47","How often does your job require working outdoors, under cover (e.g., structure with roof but no walls)?"
"V48","item48","To what extent does your job require you to perform job tasks in close physical proximity to other people?"
"V49","item49","How often does your job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
"V50","item50","How much does your job require bending or twisting your body?"
"V51","item51","How much does your job require climbing ladders, scaffolds, or poles?"
"V52","item52","How much does your job require keeping or regaining your balance?"
"V53","item53","How much does your job require kneeling, crouching, stooping or crawling?"
"V54","item54","How much does your job require making repetitive motions?"
"V55","item55","How much does your job require sitting?"
"V56","item56","How much does your job require standing?"
"V57","item57","How much does your job require using your hands to handle, control, or feel objects, tools or controls?"
"V58","item58","How much does your job require walking and running?"
"V59","item59","How often does your job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?"
"V60","item60","How much does your job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
"V61","item61","How much attention are you paying to the questions in this survey? Please select 'Every day' for this item."
"V62","item62","How much does your job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
"V63","item63","How much does your job require you to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
"V64","item64","How important is it to coordinate or lead others in accomplishing work activities in your job?"
