"","description","mean","sd"
"item61","wearing specialized protective or safety equipment",5,0
"item68","have face-to-face discussions with individuals or teams",4.21,1.37
"item78","identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events",4.05,1.19
"item104","getting members of a group to work together to accomplish tasks",4.05,1.22
"item25","repeating the same physical or mental activities over and over, without stopping",4.03,0.93
"item63","coordinate or lead others",3.99,1.17
"item75","work with others in a group or team",3.98,1.38
"item69"," conflict situations you have to face",3.87,1.35
"item55","standing",3.79,1.4
"item96","running, maneuvering, navigating, or driving vehicles or mechanized equipment",3.74,1.71
