"","description","mean","sd"
"item61","wearing specialized protective or safety equipment",5,0
"item68","have face-to-face discussions with individuals or teams",4.04,1.49
"item104","getting members of a group to work together to accomplish tasks",4.04,1.24
"item63","coordinate or lead others",4.03,1.19
"item25","repeating the same physical or mental activities over and over, without stopping",4,0.94
"item78","identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events",3.94,1.28
"item75","work with others in a group or team",3.93,1.4
"item69"," conflict situations you have to face",3.83,1.4
"item44","working indoors in non-controlled environmental conditions ",3.71,1.7
"item76","estimating sizes, distances, and quantities; or determining time, costs, resources, or materials",3.67,1.34
