"","description","overallmean","sd"
"item206","repeating the same physical or mental activities over and over, without stopping",2.21,1.41
"item203","decisions that affect other people, the financial resources, and/or the image and reputation of the organization",2.37,1.37
"item284","convincing others to buy merchandise/goods or to otherwise change their minds or actions",2.65,1.37
"item230","wearing common protective or safety equipment ",3.59,1.36
"item239","written letters and memos",2.83,1.35
"item281","performing for people or dealing directly with the public",2.68,1.34
"item267","performing physical activities that require considerable use of your arms and legs and moving your whole body",2.63,1.33
"item218","working outdoors, under cover",3.05,1.32
"item236","use electronic mail",3.37,1.32
"item261","using either control mechanisms or direct physical activity to operate machines or processes",2,1.32
