"","item400","preferredLabel","worker"
"1","Sales Management","Professionals","Knowledge"
"2","Sales administrator ","Managers","Knowledge"
"3","Product manager","Managers","Knowledge"
"4","Care manager ","Managers","Knowledge"
"5","Accountant ","Professionals","Knowledge"
"6","Doctoral Student in Clinical Psychology","Professionals","Knowledge"
"7","Software Engineer","Professionals","Knowledge"
"8","Health Safety and Environment Coordinator ","Technicians and associate professionals","Skill"
"9","general collaborator in an ice cream company","Professionals","Knowledge"
"10","crop protection","Skilled agricultural, forestry and fishery workers","Skill"
"11","Administrator","Technicians and associate professionals","Skill"
"12","Senior leader in a primary school","Professionals","Knowledge"
"13","Hostess","Service and sales workers","Skill"
"14","Accounting and Finance Intern","Professionals","Knowledge"
"15","Assembler","Plant and machine operators and assemblers","Skill"
"16","CIEF STRATEGIC OFFICER","Technicians and associate professionals","Skill"
"17","Nursing","Professionals","Knowledge"
"18",NA,NA,NA
"19","Media liaison officer ","Professionals","Knowledge"
"20","Screening",NA,NA
"21",NA,NA,NA
"22","Operations Intern","Managers","Knowledge"
"23","Product Specialst (Bank)","Managers","Knowledge"
"24","SECURITY OFFICER","Professionals","Knowledge"
"25","Assistant professor","Technicians and associate professionals","Skill"
"26","Webdesigner",NA,NA
"27",NA,NA,NA
"28","assistance in transporting food ","Technicians and associate professionals","Skill"
"29","Yard Official ","Technicians and associate professionals","Skill"
"30","Personal Shopper","Service and sales workers","Skill"
"31","Intelligence Analyst","Professionals","Knowledge"
"32","Company Director","Managers","Knowledge"
"33","Au pair","Service and sales workers","Skill"
"34","QA ANALYST","Professionals","Knowledge"
"35","Teaching languages","Professionals","Knowledge"
"36","Nursing","Professionals","Knowledge"
"37","Lawyer","Professionals","Knowledge"
"38","Children's Coordinator","Technicians and associate professionals","Skill"
"39","Accountant administrative","Technicians and associate professionals","Skill"
"40","Auditor","Technicians and associate professionals","Skill"
"41","crew member","Service and sales workers","Skill"
"42","OPERADOR DE EGRESOS",NA,NA
"43","Digital Marketing Manager ","Managers","Knowledge"
"44","Medical equipment deliveries","Professionals","Knowledge"
"45","Technical Human Resources","Professionals","Knowledge"
"46","Financial consultant ","Professionals","Knowledge"
"47","retail, supervisor ","Technicians and associate professionals","Skill"
"48","Reseach Assistnat",NA,NA
"49","bookie",NA,NA
"50","Administrative","Technicians and associate professionals","Skill"
"51","Lawyer","Professionals","Knowledge"
"52","Aircraft Maintenance Technician","Technicians and associate professionals","Skill"
"53","Physiotherapy ","Professionals","Knowledge"
"54","Economist ","Professionals","Knowledge"
"55","SOFTWARE DEVELOPMENT","Professionals","Knowledge"
"56","Teacher ","Professionals","Knowledge"
"57","Bluecolar",NA,NA
"58","Cinema operator/community center worker","Technicians and associate professionals","Skill"
"59","Acountant ",NA,NA
"60","Scientific Project Manager","Managers","Knowledge"
"61","Digital Media Manager","Professionals","Knowledge"
"62","Fitness floor coordinator at gym","Technicians and associate professionals","Skill"
"63","webdesigner",NA,NA
"64","Teacher","Professionals","Knowledge"
"65","secretary ","Clerical support workers","Skill"
"66","Consultant ","Professionals","Knowledge"
"67","Health carer","Technicians and associate professionals","Skill"
